,talent
0,https://www.linkedin.com/premium/products/?destRedirectURL=https%3A%2F%2Fwww.linkedin.com%2Fcompany%2Fus-bank%2Fpeople%2F%3Fkeywords%3D%25E6%2597%25A5%25E6%259C%25AC%26showPremiumWelcomeBanner%3Dtrue&upsellOrderOrigin=premium_nav_upsell_text
1,https://www.linkedin.com/search/results/people/?facetCurrentCompany=%5B%222532%22%2C%22280729%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH
2,https://www.linkedin.com/in/dustincluu/
3,https://www.linkedin.com/in/takeshi-maeda-7561742/
4,https://www.linkedin.com/in/josh78/
5,https://www.linkedin.com/in/tomoko-n-19207267/
6,https://www.linkedin.com/in/joannie-xu-2aa52268/
7,https://www.linkedin.com/in/kaoriyamada/
